iter	Logloss
0	0.6690606125
1	0.6494889721
2	0.6340458418
3	0.6203616517
4	0.6091366601
5	0.5996788265
6	0.5920508032
7	0.5855706139
8	0.5797349464
9	0.5748997185
10	0.5709010834
11	0.5674299356
12	0.5642458874
13	0.561713683
14	0.5596045101
15	0.5577046524
16	0.556038279
17	0.5545820307
18	0.5533276648
19	0.5522537167
20	0.5512695788
21	0.5501923655
22	0.5494439842
23	0.5487176289
24	0.5480415643
25	0.5475605157
26	0.5470084369
27	0.5465521895
28	0.5461118546
29	0.5457878704
30	0.545408709
31	0.545163384
32	0.5448574461
33	0.5445996081
34	0.5443120154
35	0.5441548596
36	0.5440062278
37	0.5438047947
38	0.543557423
39	0.5433599113
40	0.5431284601
41	0.5429835255
42	0.5428057716
43	0.5426636381
44	0.5425210964
45	0.5424076563
46	0.5422970116
47	0.5422462271
48	0.5421719995
49	0.5420700484
50	0.5419831878
51	0.5418881282
52	0.5417676242
53	0.5416876493
54	0.541606608
55	0.5414806394
56	0.5414017381
57	0.5413386419
58	0.5412469342
59	0.5412038627
60	0.5410885973
61	0.540971997
62	0.5408905842
63	0.5408441032
64	0.5408149067
65	0.5407921082
66	0.5406031945
67	0.5405473836
68	0.5405032439
69	0.5404545258
70	0.5403399386
71	0.5402760784
72	0.5402165027
73	0.5401758136
74	0.5401363499
75	0.5401001446
76	0.5400504684
77	0.5399732666
78	0.539886052
79	0.5398545828
80	0.5397819882
81	0.5397222624
82	0.539631113
83	0.5395695794
84	0.5395346692
85	0.5395141663
86	0.5394795001
87	0.5393949082
88	0.5393504297
89	0.5393010496
90	0.5392458094
91	0.53920478
92	0.5391141085
93	0.5390253381
94	0.5389871773
95	0.5389530883
96	0.5389143744
97	0.5388705875
98	0.538829378
99	0.5388010741
