iter	Passed	Remaining
0	2	208
1	4	198
2	5	185
3	7	175
4	9	172
5	10	168
6	12	164
7	14	162
8	15	160
9	17	157
10	19	155
11	20	153
12	22	150
13	24	148
14	25	145
15	27	143
16	28	141
17	30	140
18	32	138
19	33	135
20	35	133
21	37	131
22	38	129
23	40	126
24	41	124
25	43	123
26	45	121
27	46	119
28	48	117
29	49	115
30	51	113
31	52	112
32	54	109
33	55	108
34	57	106
35	59	104
36	60	103
37	62	102
38	64	100
39	65	98
40	66	95
41	68	94
42	69	92
43	71	90
44	73	89
45	74	87
46	75	85
47	77	83
48	78	81
49	79	79
50	81	78
51	82	76
52	84	74
53	85	72
54	86	71
55	88	69
56	90	67
57	91	66
58	92	64
59	94	62
60	95	61
61	96	59
62	98	57
63	100	56
64	102	55
65	104	53
66	105	52
67	106	50
68	108	48
69	109	47
70	110	45
71	112	43
72	114	42
73	115	40
74	117	39
75	118	37
76	120	35
77	121	34
78	122	32
79	124	31
80	125	29
81	126	27
82	128	26
83	129	24
84	131	23
85	132	21
86	133	20
87	135	18
88	136	16
89	137	15
90	139	13
91	140	12
92	142	10
93	143	9
94	145	7
95	146	6
96	147	4
97	149	3
98	150	1
99	152	0
